City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
113,Airai,TL,2/10/2022 15:47,-8.93,125.41,61.57,100,14,0.89
114,Yellowknife,CA,2/10/2022 15:47,62.46,-114.35,17.6,85,90,6.93
115,Dingle,PH,2/10/2022 15:47,11,122.67,76.46,88,89,5.44
116,Vanimo,PG,2/10/2022 15:47,-2.67,141.3,78.89,85,100,6.29
117,Talnakh,RU,2/10/2022 15:47,69.49,88.4,5.45,82,79,5.73
118,Ilulissat,GL,2/10/2022 15:47,69.22,-51.1,21.2,67,75,3.36
119,Atuona,PF,2/10/2022 15:47,-9.8,-139.03,77.32,70,8,17.98
120,Vondrozo,MG,2/10/2022 15:47,-22.82,47.28,61.36,100,100,7.23
121,Kaeo,NZ,2/10/2022 15:47,-35.1,173.78,59,95,98,5.99
122,Beringovskiy,RU,2/10/2022 15:47,63.05,179.32,24.37,87,0,8.84
123,Nortelandia,BR,2/10/2022 15:47,-14.45,-56.8,82.2,77,100,5.46
124,Yulara,AU,2/10/2022 15:47,-25.24,130.99,73.4,25,0,12.75
125,Oktyabrskiy,RU,2/10/2022 15:47,54.48,53.47,33.22,90,37,6.08
126,Kaabong,UG,2/10/2022 15:47,3.48,34.15,71.01,60,79,16.33
127,Kolda,SN,2/10/2022 15:47,12.88,-14.95,97.97,19,6,5.82
128,Carman,CA,2/10/2022 15:43,49.5,-98,26.6,79,0,9.17
129,Kodiak,US,2/10/2022 15:47,57.79,-152.41,30.2,68,1,4.7
130,Katsuura,JP,2/10/2022 15:47,35.13,140.3,60.8,55,75,17.22
131,Tuatapere,NZ,2/10/2022 15:47,-46.13,167.68,52,92,72,4
132,Providencia,MX,2/10/2022 15:47,28.72,-111.58,69.01,23,100,10
133,Iida,JP,2/10/2022 15:47,35.52,137.82,46,95,89,3.22
134,Gat,IL,2/10/2022 15:42,31.61,34.76,77,100,23,10.49
135,Castro,BR,2/10/2022 15:47,-24.79,-50.01,83.05,32,100,5.1
136,Roebourne,AU,2/10/2022 15:47,-20.78,117.13,72.5,81,9,12.88
