City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
166,Sitka,US,57.05,-135.33,51.8,87,90,20.8,light rain,2/10/2022 19:37
167,Tarakan,ID,3.3,117.63,79.23,79,100,9.4,overcast clouds,2/10/2022 19:37
168,Komsomolskiy,UZ,40.43,71.72,41,41,0,9.17,clear sky,2/10/2022 19:33
169,Khanino,RU,54.21,36.62,44.6,81,100,11.18,overcast clouds,2/10/2022 19:37
170,Phan Thiet,VN,10.93,108.1,75.97,88,100,3.83,overcast clouds,2/10/2022 19:37
171,Muslyumovo,RU,55.3,53.19,39.52,90,100,5.44,overcast clouds,2/10/2022 19:37
172,Sobolevo,RU,54.43,31.9,45.55,83,100,11.23,overcast clouds,2/10/2022 19:37
173,Nuevo Progreso,MX,23.17,-97.95,84,38,0,5.99,clear sky,2/10/2022 19:37
174,Vicuna,CL,-30.03,-70.71,82.99,14,0,3,clear sky,2/10/2022 19:37
175,Mount Isa,AU,-20.73,139.5,69.8,26,0,10.29,clear sky,2/10/2022 19:37
176,Ponta Do Sol,PT,32.67,-17.1,72,68,20,9.17,few clouds,2/10/2022 19:37
177,Vanimo,PG,-2.67,141.3,77.88,82,34,7.16,scattered clouds,2/10/2022 19:37
178,Chokurdakh,RU,70.63,147.92,-7.15,91,95,8.32,overcast clouds,2/10/2022 19:37
179,Pochutla,MX,15.74,-96.47,89.01,62,40,9.17,scattered clouds,2/10/2022 19:35
180,Kirkkonummi,FI,60.12,24.44,44.01,92,0,9.33,clear sky,2/10/2022 19:37
181,Ixtapa,MX,20.7,-105.2,87.01,66,5,8.05,clear sky,2/10/2022 19:37
182,Severnyy,RU,50.68,36.55,46.4,100,90,8.95,mist,2/10/2022 19:37
183,Naron,ES,43.52,-8.15,68,73,99,20,light rain,2/10/2022 19:37
184,Pandan,PH,14.05,124.17,81.03,87,100,63.84,very heavy rain,2/10/2022 19:37
185,Ust-Nera,RU,64.57,143.2,-3.87,82,100,3.04,overcast clouds,2/10/2022 19:37
186,Inirida,CO,3.87,-67.92,82.99,79,100,2.19,light rain,2/10/2022 19:37
187,Domanivka,UA,47.63,30.99,46.9,81,97,10.36,overcast clouds,2/10/2022 19:37
188,Olafsvik,IS,64.89,-23.71,43.34,76,13,5.7,few clouds,2/10/2022 19:37
189,Chandauli,IN,25.27,83.27,69.8,73,20,2.24,mist,2/10/2022 19:37
190,Auki,SB,-8.77,160.7,79.83,82,72,4.29,broken clouds,2/10/2022 19:37
191,Saint George,US,37.1,-113.58,62.6,20,1,0.76,clear sky,2/10/2022 19:37
192,Aksarka,RU,66.56,67.8,29.62,96,52,16.49,broken clouds,2/10/2022 19:37
193,Narsaq,GL,60.92,-46.05,26.6,73,40,1.07,scattered clouds,2/10/2022 19:37
194,Zhanaozen,KZ,43.3,52.8,55.06,32,95,16.84,overcast clouds,2/10/2022 19:37
195,Vila Velha,BR,-20.33,-40.29,71.6,94,90,8.05,light rain,2/10/2022 19:35
196,Lubumbashi,CD,-11.66,27.48,70.07,40,35,4.92,scattered clouds,2/10/2022 19:37
197,Haizhou,CN,34.58,119.13,59.63,60,100,2.64,light rain,2/10/2022 19:37
198,Rorvik,NO,64.86,11.24,47.48,68,100,25.48,light rain,2/10/2022 19:37
199,Kieta,PG,-6.22,155.63,80.01,78,53,1.41,light rain,2/10/2022 19:37
200,Luderitz,NA,-26.65,15.16,66.51,43,42,21.92,scattered clouds,2/10/2022 19:37
201,Kamaishi,JP,39.27,141.88,50.76,72,62,9.15,broken clouds,2/10/2022 19:37
202,Kon Tum,VN,14.35,108,67.71,91,78,2.35,broken clouds,2/10/2022 19:37
203,Cidreira,BR,-30.18,-50.21,66.29,65,100,10.09,overcast clouds,2/10/2022 19:35
204,Takanosu,JP,40.22,140.37,42.01,81,99,2.39,overcast clouds,2/10/2022 19:37
205,Pangoa,PE,-12.12,-73,68.27,92,100,1.72,overcast clouds,2/10/2022 19:37
206,Ribeira Grande,PT,38.52,-28.7,69.8,94,75,16.11,broken clouds,2/10/2022 19:37
207,Beidao,CN,34.57,105.89,44.65,56,75,1.07,broken clouds,2/10/2022 19:37
208,Bathsheba,BB,13.22,-59.52,80.6,83,75,17.22,broken clouds,2/10/2022 19:37
209,Kloulklubed,PW,7.04,134.26,84.43,77,100,16.33,moderate rain,2/10/2022 19:37
210,Lata,PT,40.16,-8.33,64.99,86,17,0.65,few clouds,2/10/2022 19:37
211,Paris,FR,48.85,2.35,64,82,90,11.41,overcast clouds,2/10/2022 19:34
212,Beipiao,CN,41.79,120.78,39.88,54,0,8.14,clear sky,2/10/2022 19:37
213,Kaisiadorys,LT,54.87,24.45,46.4,93,90,2.24,overcast clouds,2/10/2022 19:37
214,Waipawa,NZ,-41.41,175.52,60.8,72,12,12.75,few clouds,2/10/2022 19:37
215,Kangaatsiaq,GL,68.31,-53.46,23.86,97,99,11.1,overcast clouds,2/10/2022 19:37
216,Touros,BR,-5.2,-35.46,84.2,70,40,14.99,scattered clouds,2/10/2022 19:37
217,Victoria,HK,22.29,114.16,73,78,99,1.01,overcast clouds,2/10/2022 19:36
218,Pontes E Lacerda,BR,-15.23,-59.34,87.94,39,74,6.76,broken clouds,2/10/2022 19:34
219,Tanout,NE,14.97,8.89,80.8,16,0,10.71,clear sky,2/10/2022 19:37
220,San Carlos De Bariloche,AR,-41.15,-71.31,80.6,10,0,4.7,clear sky,2/10/2022 19:37
221,Brae,GB,60.4,-1.35,51.8,76,100,38.03,overcast clouds,2/10/2022 19:37
222,Isfana,KG,39.84,69.53,37.4,69,97,3,overcast clouds,2/10/2022 19:37
223,Seoul,KR,37.57,126.98,57.2,71,90,8.21,overcast clouds,2/10/2022 19:37
224,Kungurtug,RU,50.6,97.52,18.86,93,95,3.15,overcast clouds,2/10/2022 19:37
225,Khasan,RU,42.43,130.64,49.84,61,74,3.71,broken clouds,2/10/2022 19:37
226,Colares,PT,38.8,-9.45,64.99,82,40,8.05,scattered clouds,2/10/2022 19:37
227,Ugoofaaru,MV,5.67,73,82.78,66,41,4.38,scattered clouds,2/10/2022 19:37
228,Beringovskiy,RU,63.05,179.32,18.5,95,99,11.9,overcast clouds,2/10/2022 19:37
229,Kiunga,PG,-6.12,141.29,72.39,98,89,1.63,overcast clouds,2/10/2022 19:37
230,Okitipupa,NG,6.5,4.78,76.15,95,92,2.98,light rain,2/10/2022 19:37
231,Bramming,DK,55.47,8.7,55.4,93,62,9.17,broken clouds,2/10/2022 19:37
232,Reconquista,AR,-29.15,-59.65,76.46,43,0,10.13,clear sky,2/10/2022 19:37
233,Saint-Pierre,RE,-21.34,55.48,66.2,63,0,6.93,clear sky,2/10/2022 19:37
234,Puerto Ayora,EC,-0.74,-90.35,77,73,75,16.11,broken clouds,2/10/2022 19:33
235,Waconia,US,44.85,-93.79,55,65,100,7,overcast clouds,2/10/2022 19:37
236,Mahoba,IN,25.28,79.87,73.58,21,64,3.85,broken clouds,2/10/2022 19:37
237,Mongo,TD,12.18,18.69,88.7,23,48,5.26,scattered clouds,2/10/2022 19:37
